Wall time,Step,Value
1515448027.736541,5,0.20999999344348907
1515448033.981793,8,0.2800000011920929
1515448052.760324,17,0.33000001311302185
1515448061.104078,21,0.3499999940395355
1515448067.448061,24,0.4000000059604645
1515448073.673054,27,0.4699999988079071
1515448077.787702,29,0.25999999046325684
1515448096.320818,38,0.4300000071525574
1515448104.67285,42,0.38999998569488525
1515448129.443901,54,0.4300000071525574
1515448133.541255,56,0.33000001311302185
1515448135.610678,57,0.4699999988079071
1515448139.742104,59,0.5400000214576721
1515448162.66535,70,0.3799999952316284
1515448185.493592,81,0.5199999809265137
1515448187.5575,82,0.3400000035762787
1515448189.617602,83,0.3700000047683716
1515448197.885923,87,0.41999998688697815
1515448204.096385,90,0.44999998807907104
1515448206.228514,91,0.47999998927116394
1515448235.310719,105,0.4399999976158142
1515448237.401389,106,0.4300000071525574
1515448239.47568,107,0.44999998807907104
1515448278.989575,126,0.5
1515448285.263305,129,0.44999998807907104
1515448291.540374,132,0.49000000953674316
1515448293.673756,133,0.46000000834465027
1515448308.20752,140,0.4399999976158142
1515448312.44814,142,0.5
1515448351.880198,161,0.5899999737739563
1515448370.628791,170,0.49000000953674316
1515448379.23693,174,0.4300000071525574
1515448381.312577,175,0.49000000953674316
1515448400.141795,184,0.44999998807907104
1515448402.205509,185,0.5400000214576721
1515448408.42245,188,0.5299999713897705
1515448418.769871,193,0.47999998927116394
1515448420.808355,194,0.47999998927116394
1515448433.300919,200,0.5400000214576721
1515448454.042741,210,0.5600000023841858
1515448464.501275,215,0.5899999737739563
1515448472.784339,219,0.49000000953674316
1515448474.862297,220,0.5699999928474426
1515448481.12915,223,0.5
1515448483.212659,224,0.5199999809265137
1515448493.67177,229,0.5099999904632568
1515448506.046061,235,0.5299999713897705
1515448508.172075,236,0.5199999809265137
1515448510.224837,237,0.49000000953674316
1515448520.650015,242,0.46000000834465027
1515448526.85595,245,0.5199999809265137
1515448530.998514,247,0.5899999737739563
1515448566.526868,264,0.5299999713897705
1515448589.407997,275,0.5299999713897705
1515448595.615371,278,0.5600000023841858
1515448599.800248,280,0.5199999809265137
1515448601.937534,281,0.49000000953674316
1515448616.442142,288,0.550000011920929
1515448624.875867,292,0.5899999737739563
1515448635.267768,297,0.6600000262260437
1515448639.431845,299,0.5400000214576721
1515448641.494769,300,0.5799999833106995
1515448645.757679,302,0.5600000023841858
1515448666.539522,312,0.6100000143051147
1515448670.681688,314,0.6299999952316284
1515448674.84435,316,0.47999998927116394
1515448699.785703,328,0.6499999761581421
1515448706.100906,331,0.5600000023841858
1515448712.28238,334,0.5199999809265137
1515448714.367206,335,0.5799999833106995
1515448724.752481,340,0.5199999809265137
1515448726.890652,341,0.5899999737739563
1515448733.133028,344,0.5400000214576721
1515448735.184901,345,0.5699999928474426
1515448739.332406,347,0.5699999928474426
1515448741.410424,348,0.5
1515448745.546824,350,0.6100000143051147
1515448760.137255,357,0.4399999976158142
1515448766.349976,360,0.6000000238418579
1515448770.530092,362,0.5600000023841858
1515448778.827895,366,0.550000011920929
1515448780.898483,367,0.5600000023841858
1515448783.010141,368,0.5899999737739563
1515448785.08703,369,0.5099999904632568
1515448789.284375,371,0.5899999737739563
1515448797.615562,375,0.5699999928474426
1515448805.853796,379,0.5799999833106995
1515448807.899962,380,0.5600000023841858
1515448812.051449,382,0.550000011920929
1515448814.077627,383,0.5899999737739563
1515448816.17487,384,0.6000000238418579
1515448818.235761,385,0.5199999809265137
1515448843.22066,397,0.6499999761581421
1515448851.559086,401,0.5799999833106995
1515448853.621615,402,0.5899999737739563
1515448868.264017,409,0.5199999809265137
1515448872.459134,411,0.5400000214576721
1515448887.019662,418,0.5400000214576721
1515448901.597102,425,0.550000011920929
1515448914.164001,431,0.6000000238418579
1515448920.420343,434,0.6200000047683716
1515448928.709678,438,0.6600000262260437
1515448939.151521,443,0.5699999928474426
1515448941.209309,444,0.5199999809265137
1515448945.358261,446,0.6499999761581421
1515448947.41125,447,0.5799999833106995
1515448957.938938,452,0.5699999928474426
1515448964.227317,455,0.4699999988079071
1515448966.294091,456,0.5899999737739563
1515448974.593986,460,0.5299999713897705
1515449009.884541,477,0.6499999761581421
1515449022.3723,483,0.7200000286102295
1515449032.805988,488,0.7200000286102295
1515449043.245994,493,0.5299999713897705
1515449049.498873,496,0.6299999952316284
1515449066.20486,504,0.6200000047683716
1515449070.303908,506,0.5099999904632568
1515449082.760639,512,0.6399999856948853
1515449084.833363,513,0.6499999761581421
1515449086.899144,514,0.6100000143051147
1515449093.122103,517,0.5400000214576721
1515449095.19244,518,0.5099999904632568
1515449105.520002,523,0.5799999833106995
1515449107.602765,524,0.699999988079071
1515449122.160985,531,0.6100000143051147
1515449132.55147,536,0.6499999761581421
1515449138.753805,539,0.6200000047683716
1515449143.005141,541,0.5899999737739563
1515449147.170025,543,0.5299999713897705
1515449161.698456,550,0.6100000143051147
1515449163.82889,551,0.6000000238418579
1515449165.879639,552,0.6800000071525574
1515449168.015643,553,0.5699999928474426
1515449188.730862,563,0.6200000047683716
1515449195.012167,566,0.6899999976158142
1515449205.463603,571,0.6100000143051147
1515449209.560661,573,0.5799999833106995
1515449215.776764,576,0.6100000143051147
1515449217.852769,577,0.6399999856948853
1515449222.071151,579,0.7099999785423279
1515449224.155318,580,0.6499999761581421
1515449236.681207,586,0.6499999761581421
1515449240.853523,588,0.6100000143051147
1515449249.191327,592,0.5899999737739563
1515449269.960953,602,0.6299999952316284
1515449276.202513,605,0.6800000071525574
1515449280.383499,607,0.6499999761581421
1515449288.698682,611,0.6399999856948853
1515449294.938923,614,0.6000000238418579
1515449324.164971,628,0.6899999976158142
1515449342.844263,637,0.6800000071525574
1515449355.357946,643,0.6899999976158142
1515449367.852026,649,0.699999988079071
1515449372.038144,651,0.5199999809265137
1515449384.533337,657,0.6200000047683716
1515449388.665786,659,0.7099999785423279
1515449390.71968,660,0.6299999952316284
1515449397.00575,663,0.6800000071525574
1515449399.079076,664,0.6499999761581421
1515449403.278527,666,0.550000011920929
1515449407.394013,668,0.6600000262260437
1515449411.576558,670,0.699999988079071
1515449413.686587,671,0.6399999856948853
1515449430.447683,679,0.6899999976158142
1515449436.753165,682,0.6100000143051147
1515449451.377672,689,0.6299999952316284
1515449453.431134,690,0.7099999785423279
1515449455.511652,691,0.6499999761581421
1515449465.913077,696,0.7099999785423279
1515449474.198809,700,0.6800000071525574
1515449484.668163,705,0.6600000262260437
1515449488.784059,707,0.5899999737739563
1515449503.263,714,0.6600000262260437
1515449526.138868,725,0.6899999976158142
1515449528.197939,726,0.6299999952316284
1515449530.281974,727,0.7300000190734863
1515449544.834346,734,0.7699999809265137
1515449561.495119,742,0.699999988079071
1515449567.784796,745,0.6299999952316284
1515449580.177724,751,0.550000011920929
1515449586.486982,754,0.7099999785423279
1515449590.565352,756,0.6499999761581421
1515449594.704764,758,0.6100000143051147
1515449598.798793,760,0.6899999976158142
1515449602.951698,762,0.6899999976158142
1515449613.362139,767,0.699999988079071
1515449615.428041,768,0.6000000238418579
1515449623.733471,772,0.7099999785423279
1515449634.181571,777,0.6399999856948853
1515449659.229475,789,0.6100000143051147
1515449661.304609,790,0.6600000262260437
1515449667.581863,793,0.75
1515449678.024834,798,0.6600000262260437
1515449680.134621,799,0.6299999952316284
1515449700.875779,809,0.6399999856948853
1515449711.274123,814,0.75
1515449713.399126,815,0.7400000095367432
1515449721.672973,819,0.6800000071525574
1515449725.818311,821,0.7400000095367432
1515449736.226498,826,0.6899999976158142
1515449738.307045,827,0.6499999761581421
1515449740.364055,828,0.699999988079071
1515449746.60824,831,0.6600000262260437
1515449750.760502,833,0.7200000286102295
1515449756.960536,836,0.6299999952316284
1515449767.320453,841,0.6000000238418579
1515449784.049661,849,0.6600000262260437
1515449786.113336,850,0.7099999785423279
1515449796.581082,855,0.7300000190734863
1515449807.044633,860,0.7300000190734863
1515449819.544664,866,0.6100000143051147
1515449821.599889,867,0.6600000262260437
1515449825.728564,869,0.6399999856948853
1515449829.920355,871,0.699999988079071
1515449834.050571,873,0.7200000286102295
1515449840.291089,876,0.6399999856948853
1515449854.880359,883,0.6700000166893005
1515449856.977165,884,0.6800000071525574
1515449861.142322,886,0.7400000095367432
1515449865.389573,888,0.7599999904632568
1515449869.56074,890,0.5699999928474426
1515449888.331966,899,0.7400000095367432
1515449892.526796,901,0.6899999976158142
1515449894.599004,902,0.699999988079071
1515449898.745957,904,0.699999988079071
1515449917.432482,913,0.7200000286102295
1515449938.322139,923,0.6499999761581421
1515449952.942411,930,0.800000011920929
1515449955.058443,931,0.6899999976158142
1515449957.108505,932,0.7599999904632568
1515449961.278213,934,0.699999988079071
1515449965.459703,936,0.7699999809265137
1515449973.825465,940,0.6700000166893005
1515449977.981636,942,0.6899999976158142
1515449984.292509,945,0.6800000071525574
1515449988.480193,947,0.7099999785423279
1515450019.765246,962,0.7400000095367432
1515450025.926757,965,0.6800000071525574
1515450036.385412,970,0.5899999737739563
1515450044.693757,974,0.6399999856948853
1515450050.937639,977,0.6800000071525574
1515450055.136589,979,0.6200000047683716
1515450061.309659,982,0.7699999809265137
1515450080.064879,991,0.6200000047683716
1515450088.339008,995,0.7900000214576721
1515450107.094131,1004,0.6200000047683716
1515450111.22261,1006,0.6399999856948853
1515450115.336883,1008,0.7200000286102295
1515450121.651897,1011,0.6899999976158142
1515450123.728986,1012,0.7400000095367432
1515450150.661354,1025,0.6700000166893005
1515450165.30889,1032,0.6600000262260437
1515450167.328631,1033,0.7200000286102295
1515450175.631774,1037,0.7599999904632568
1515450183.952312,1041,0.6499999761581421
1515450188.140831,1043,0.6800000071525574
1515450194.342746,1046,0.7400000095367432
1515450209.030536,1053,0.699999988079071
1515450211.153547,1054,0.6299999952316284
1515450213.208697,1055,0.6600000262260437
1515450215.283189,1056,0.7099999785423279
1515450219.447323,1058,0.6899999976158142
1515450229.899504,1063,0.699999988079071
1515450232.006079,1064,0.699999988079071
1515450234.069026,1065,0.7200000286102295
1515450246.45501,1071,0.6700000166893005
1515450250.64604,1073,0.7200000286102295
1515450254.811955,1075,0.6800000071525574
1515450275.660968,1085,0.6600000262260437
1515450279.830266,1087,0.6899999976158142
1515450281.915692,1088,0.7599999904632568
1515450286.039131,1090,0.7400000095367432
1515450298.511599,1096,0.7099999785423279
1515450304.743467,1099,0.7699999809265137
1515450325.671475,1109,0.7799999713897705
1515450336.099907,1114,0.6399999856948853
1515450338.191529,1115,0.7200000286102295
1515450350.745547,1121,0.6600000262260437
1515450367.388842,1129,0.75
1515450371.559054,1131,0.75
1515450375.737107,1133,0.7200000286102295
1515450392.414114,1141,0.699999988079071
1515450402.744518,1146,0.7699999809265137
1515450413.204595,1151,0.7099999785423279
1515450415.276744,1152,0.6899999976158142
1515450419.446791,1154,0.6600000262260437
1515450421.505689,1155,0.6899999976158142
1515450423.562397,1156,0.800000011920929
1515450431.859909,1160,0.6899999976158142
1515450440.156275,1164,0.7699999809265137
1515450448.487543,1168,0.75
1515450450.560438,1169,0.7099999785423279
1515450463.185939,1175,0.7200000286102295
1515450475.540562,1181,0.75
1515450481.722076,1184,0.7799999713897705
1515450502.459166,1194,0.6800000071525574
1515450514.915393,1200,0.6299999952316284
1515450517.032379,1201,0.6800000071525574
1515450533.555116,1209,0.7300000190734863
1515450535.622966,1210,0.699999988079071
1515450546.052778,1215,0.699999988079071
1515450558.665907,1221,0.7099999785423279
1515450569.014711,1226,0.800000011920929
1515450583.607745,1233,0.7699999809265137
1515450595.875666,1239,0.7200000286102295
1515450600.079912,1241,0.6899999976158142
1515450604.358792,1243,0.7699999809265137
1515450612.624393,1247,0.6899999976158142
1515450616.798528,1249,0.7400000095367432
1515450618.857855,1250,0.800000011920929
1515450627.277013,1254,0.7599999904632568
1515450629.345805,1255,0.6700000166893005
1515450633.558418,1257,0.7400000095367432
1515450635.620282,1258,0.75
1515450641.927072,1261,0.7799999713897705
1515450643.987428,1262,0.7400000095367432
1515450652.318414,1266,0.7200000286102295
1515450658.53764,1269,0.7599999904632568
1515450664.791698,1272,0.7400000095367432
1515450673.09211,1276,0.7099999785423279
1515450679.307518,1279,0.7099999785423279
1515450681.394314,1280,0.7300000190734863
1515450683.529398,1281,0.7300000190734863
1515450696.059632,1287,0.800000011920929
1515450714.906449,1296,0.5899999737739563
1515450727.421844,1302,0.7300000190734863
1515450737.833225,1307,0.7200000286102295
1515450741.984314,1309,0.7400000095367432
1515450744.072748,1310,0.7699999809265137
1515450750.361939,1313,0.7300000190734863
1515450752.46912,1314,0.7400000095367432
1515450758.693694,1317,0.7799999713897705
1515450775.310935,1325,0.7699999809265137
1515450779.50912,1327,0.75
1515450781.576314,1328,0.6899999976158142
1515450787.764458,1331,0.8100000023841858
1515450789.808901,1332,0.6899999976158142
1515450798.107505,1336,0.6899999976158142
1515450810.620192,1342,0.7099999785423279
1515450814.754434,1344,0.7400000095367432
1515450833.432101,1353,0.7099999785423279
1515450875.07918,1373,0.7599999904632568
1515450879.254802,1375,0.7200000286102295
1515450881.346311,1376,0.75
1515450910.270352,1390,0.7400000095367432
1515450935.270856,1402,0.7599999904632568
1515450956.137337,1412,0.7400000095367432
1515450958.209862,1413,0.7900000214576721
1515450960.361616,1414,0.8100000023841858
1515450966.573334,1417,0.7200000286102295
1515450970.681102,1419,0.8399999737739563
1515450976.935785,1422,0.7400000095367432
1515450979.015597,1423,0.7599999904632568
1515450983.152067,1425,0.800000011920929
1515451001.947252,1434,0.7099999785423279
1515451020.657711,1443,0.7200000286102295
1515451022.747338,1444,0.7599999904632568
1515451026.860051,1446,0.7599999904632568
1515451051.90891,1458,0.7799999713897705
1515451060.254729,1462,0.7599999904632568
1515451064.418605,1464,0.8299999833106995
1515451070.618981,1467,0.8199999928474426
1515451076.836693,1470,0.699999988079071
1515451078.943565,1471,0.75
1515451093.628692,1478,0.75
1515451095.694214,1479,0.8399999737739563
1515451097.776464,1480,0.7300000190734863
1515451110.215539,1486,0.7900000214576721
1515451118.479074,1490,0.7300000190734863
1515451122.679008,1492,0.7200000286102295
1515451139.350092,1500,0.7699999809265137
1515451153.987024,1507,0.7300000190734863
1515451162.358527,1511,0.8700000047683716
1515451174.886198,1517,0.9100000262260437
1515451181.070955,1520,0.7900000214576721
1515451197.753893,1528,0.7599999904632568
1515451201.939345,1530,0.7599999904632568
1515451204.051438,1531,0.7699999809265137
1515451206.15815,1532,0.7900000214576721
1515451224.88572,1541,0.699999988079071
1515451229.040526,1543,0.7400000095367432
1515451231.103236,1544,0.7900000214576721
1515451233.195859,1545,0.7799999713897705
1515451237.353591,1547,0.75
1515451241.495314,1549,0.7400000095367432
1515451251.935883,1554,0.7599999904632568
1515451260.296011,1558,0.7799999713897705
1515451266.540359,1561,0.6899999976158142
1515451268.615505,1562,0.7900000214576721
1515451293.59695,1574,0.7599999904632568
1515451295.678727,1575,0.7699999809265137
1515451299.85305,1577,0.7599999904632568
1515451301.915541,1578,0.7300000190734863
1515451314.394263,1584,0.8399999737739563
1515451316.49132,1585,0.7900000214576721
1515451318.560524,1586,0.6800000071525574
1515451341.274649,1597,0.7400000095367432
1515451345.416045,1599,0.8700000047683716
1515451349.605942,1601,0.7400000095367432
1515451351.664856,1602,0.8399999737739563
1515451355.79016,1604,0.800000011920929
1515451378.757197,1615,0.8199999928474426
1515451382.926926,1617,0.7699999809265137
1515451387.114601,1619,0.7300000190734863
1515451389.233989,1620,0.7699999809265137
1515451393.418226,1622,0.75
1515451395.491871,1623,0.7900000214576721
1515451399.644228,1625,0.699999988079071
1515451401.708504,1626,0.7200000286102295
1515451405.95737,1628,0.7799999713897705
1515451412.246816,1631,0.75
1515451414.330847,1632,0.7799999713897705
1515451432.932444,1641,0.7599999904632568
1515451437.122959,1643,0.7799999713897705
